price,currency,color,region,sku,name,size,crawl_time,description,category
210.00, ,,UNITED STATES,3Y5N075N0AZ29282928,Knee length skirt,,,,
595.00, ,,UNITED STATES,VMN23TVM008999999,GATHERED PENCIL SKIRT,,,,
395.00, ,,UNITED STATES,3YMN50MJFAZ06260626,Knee length skirt,,,,
525.00, ,,UNITED STATES,VMN29TVM004125125,ATHLETIC PENCIL SKIRT,,,,
300.00, ,,UNITED STATES,3Y5J285D1FZ15001500,Jeans,,,,
270.00, ,,UNITED STATES,3Y5J055N0FZ11001100,Denim shorts,,,,
290.00, ,,UNITED STATES,3Y5J185D11Z15001500,Jeans,,,,
220.00, ,,UNITED STATES,3Y5J065NZXZ14801480,5 pockets,,,,
220.00, ,,UNITED STATES,3Y5J185NZXZ155N155N,5 pockets,,,,
250.00, ,,UNITED STATES,3Y5J105D1PZ15001500,5 pockets,,,,
300.00, ,,UNITED STATES,3Y5J065N1CZ11001100,Jeans,,,,
185.00, ,,UNITED STATES,3Y5J075DXIZ15001500,Jeans,,,,
250.00, ,,UNITED STATES,3Y5J205DXHZ12001200,Jeans,,,,
260.00, ,,UNITED STATES,3Y5J125DXEZ15001500,Jeans,,,,
260.00, ,,UNITED STATES,3Y5J235D13Z15001500,Jeans,,,,
270.00, ,,UNITED STATES,3Y5J235D1EZ15001500,Jeans,,,,
270.00, ,,UNITED STATES,3Y5J285D0ZZ15001500,Jeans,,,,
260.00, ,,UNITED STATES,3Y5J855D1BZ15001500,Jeans,,,,
260.00, ,,UNITED STATES,3Y5J185DXEZ15001500,Jeans,,,,
240.00, ,,UNITED STATES,3Y5J185D1RZ11001100,Jeans,,,,
280.00, ,,UNITED STATES,3Y5J285D10Z15001500,Jeans,,,,
175.00, ,,UNITED STATES,3Y5J205DXJZ12001200,Jeans,,,,
260.00, ,,UNITED STATES,3Y5J035D0ZZ15001500,Jeans,,,,
175.00, ,,UNITED STATES,3Y5J205DXJZ15001500,Jeans,,,,
220.00, ,,UNITED STATES,3Y5J125D15Z15001500,Jeans,,,,
240.00, ,,UNITED STATES,3Y5J235D1RZ15971597,5 pockets,,,,
185.00, ,,UNITED STATES,3Y5J075DXIZ12001200,5 pockets,,,,
260.00, ,,UNITED STATES,3Y5J205D0SZ15001500,Jeans,,,,
260.00, ,,UNITED STATES,3Y5J065D0SZ15001500,Jeans,,,,
260.00, ,,UNITED STATES,3Y5J285D19Z12001200,5 pockets,,,,
220.00, ,,UNITED STATES,3Y5J285D15Z15001500,Jeans,,,,
350.00, ,,UNITED STATES,3Y5J855D10Z15001500,Jeans,,,,
185.00, ,,UNITED STATES,3Y5J755DXIZ12001200,5 pockets,,,,
220.00, ,,UNITED STATES,3Y5J205D15Z15001500,Jeans,,,,
"1,295.00", ,,UNITED STATES,3YMA60MJXTZ09990999,MID-LENGTH DRESS WITH CRYSTAL NECKLINE,,,,
"1,295.00", ,,UNITED STATES,VMA80RVM015999999,EVENING DRESS WITH WOVEN BODICE,,,,
"1,495.00", ,,UNITED STATES,VMA31TVM508010010,Short Dress,,,,
"1,395.00", ,,UNITED STATES,VMA33TVM503010010,Short Dress,,,,
995.00, ,,UNITED STATES,3YMA53MJFAZ03410341,MILANO RIB V-NECK DRESS,,,,
"1,395.00", ,,UNITED STATES,VMA16TVM022829829,SLEEVELESS WOOL DRESS ,,,,
975.00, ,,UNITED STATES,VMD10TVM015999999,Jumpsuit,,,,
975.00, ,,UNITED STATES,VMA13TVM015628628,Short Dress,,,,
